1D Steady Open Channel Network Solver																																												
																																												
Two-pass steady 1D workbook: subcritical backwater, supercritical forewater, mixed-flow specific-force selection, and spill routing to drain.																																												
	Parameter	Unit	Value				Fundamental Inputs			Boundary	Segment	End	Type	Value	Resolved Stage	Remarks																												
661	659.996	616129.739	3097338.181	632.2325	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2287493	635.4566214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2947853	636.591297	0.000708102	0.38207683	55.43257918	0.000728248	1	4.062285346	636.2947853	636.591297			0	0	0	0	0.38207683	Subcritical	0.000708102
662	660.996	616129.265	3097337.301	632.232	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2282493	635.4561214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.062864822	21.12689708	1.58542141	2.41161775	636.2948648	636.5912919	0.000707848	0.381995091	55.44303415	0.000916876	1	4.062864822	636.2948648	636.5912919			0	0	0	0	0.381995091	Subcritical	0.000707848
663	661.995	616128.791	3097336.421	632.2315	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2277493	635.4556214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.063642811	21.13094262	1.585539863	2.411156044	636.2951428	636.5914564	0.000707506	0.381885396	55.45707424	-0.000919712	1	4.063642811	636.2951428	636.5914564			0	0	0	0	0.381885396	Subcritical	0.000707506
664	662.996	616128.316	3097335.54	632.231	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2272493	635.4551214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2932853	636.589797	0.000708102	0.38207683	55.43257918	0.000738079	1	4.062285346	636.2932853	636.589797			0	0	0	0	0.38207683	Subcritical	0.000708102
665	663.996	616127.842	3097334.66	632.2305	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2267493	635.4546214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062860909	21.12687673	1.585420814	2.411620073	636.2933609	636.5897886	0.000707849	0.381995643	55.44296354	0.000910401	1	4.062860909	636.2933609	636.5897886			0	0	0	0	0.381995643	Subcritical	0.000707849
666	664.996	616127.368	3097333.779	632.23	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2262493	635.4541214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063628692	21.1308692	1.585537713	2.411164421	636.2936287	636.5899444	0.000707512	0.381887386	55.45681942	-0.00091993	1	4.063628692	636.2936287	636.5899444			0	0	0	0	0.381887386	Subcritical	0.000707512
667	665.996	616126.894	3097332.899	632.2295	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2257493	635.4536214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2917853	636.588297	0.000708102	0.38207683	55.43257918	0.000739874	1	4.062285346	636.2917853	636.588297			0	0	0	0	0.38207683	Subcritical	0.000708102
668	666.995	616126.42	3097332.019	632.229	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2252493	635.4531214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.0628659	21.12690268	1.585421574	2.411617111	636.2918659	636.5882929	0.000707847	0.381994939	55.44305359	0.000918657	1	4.0628659	636.2918659	636.5882929			0	0	0	0	0.381994939	Subcritical	0.000707847
669	667.996	616125.945	3097331.138	632.2285	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2247493	635.4526214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.063644295	21.13095034	1.585540089	2.411155163	636.2921443	636.5884577	0.000707506	0.381885187	55.45710104	-0.00091969	1	4.063644295	636.2921443	636.5884577			0	0	0	0	0.381885187	Subcritical	0.000707506
670	668.996	616125.471	3097330.258	632.228	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2242493	635.4521214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2902853	636.586797	0.000708102	0.38207683	55.43257918	0.00075631	1	4.062285346	636.2902853	636.586797			0	0	0	0	0.38207683	Subcritical	0.000708102
671	669.996	616124.997	3097329.377	632.2275	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2237493	635.4516214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.06288122	21.12698234	1.585423906	2.411608017	636.2903812	636.586806	0.000707841	0.381992778	55.44333002	0.000943987	1	4.06288122	636.2903812	636.586806			0	0	0	0	0.381992778	Subcritical	0.000707841
672	670.996	616124.523	3097328.497	632.227	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2232493	635.4511214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.063673768	21.13110359	1.585544576	2.411137676	636.2906738	636.5869829	0.000707493	0.381881032	55.457633	-0.000919237	1	4.063673768	636.2906738	636.5869829			0	0	0	0	0.381881032	Subcritical	0.000707493
673	671.996	616124.048	3097327.617	632.2265	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2227493	635.4506214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2887853	636.585297	0.000708102	0.38207683	55.43257918	0.00075231	1	4.062285346	636.2887853	636.585297			0	0	0	0	0.38207683	Subcritical	0.000708102
674	672.996	616123.574	3097326.736	632.226	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2222493	635.4501214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062876763	21.12695917	1.585423228	2.411610663	636.2888768	636.5853021	0.000707842	0.381993407	55.44324961	0.000936626	1	4.062876763	636.2888768	636.5853021			0	0	0	0	0.381993407	Subcritical	0.000707842
675	673.996	616123.1	3097325.856	632.2255	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2217493	635.4496214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063673768	21.13110359	1.585544576	2.411137676	636.2891738	636.5854829	0.000707493	0.381881032	55.457633	-0.000919237	1	4.063673768	636.2891738	636.5854829			0	0	0	0	0.381881032	Subcritical	0.000707493
676	674.996	616122.626	3097324.975	632.225	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2212493	635.4491214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2872853	636.583797	0.000708102	0.38207683	55.43257918	0.000754371	1	4.062285346	636.2872853	636.583797			0	0	0	0	0.38207683	Subcritical	0.000708102
677	675.996	616122.151	3097324.095	632.2245	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2207493	635.4486214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.062866397	21.12690527	1.585421649	2.411616816	636.2873664	636.5837933	0.000707847	0.381994869	55.44306257	0.000919479	1	4.062866397	636.2873664	636.5837933			0	0	0	0	0.381994869	Subcritical	0.000707847
678	676.996	616121.677	3097323.215	632.224	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2202493	635.4481214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063644295	21.13095034	1.585540089	2.411155163	636.2876443	636.5839577	0.000707506	0.381885187	55.45710104	-0.00091969	1	4.063644295	636.2876443	636.5839577			0	0	0	0	0.381885187	Subcritical	0.000707506
679	677.996	616121.203	3097322.334	632.2235	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2197493	635.4476214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2857853	636.582297	0.000708102	0.38207683	55.43257918	0.000755612	1	4.062285346	636.2857853	636.582297			0	0	0	0	0.38207683	Subcritical	0.000708102
680	678.995	616120.729	3097321.454	632.223	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2192493	635.4471214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.062881231	21.1269824	1.585423908	2.411608011	636.2858812	636.582306	0.000707841	0.381992777	55.44333023	0.000943992	1	4.062881231	636.2858812	636.582306			0	0	0	0	0.381992777	Subcritical	0.000707841
681	679.996	616120.255	3097320.573	632.2225	5.2	0	Normal	0.078	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2187493	635.4466214	0.004609515	1.109134404	35.85287311	-0.004273748	0	4.063657587	21.13101945	1.585542112	2.411147277	636.2861576	636.5824691	0.0007075	0.381883313	55.45734095	-0.000919486	1	4.063657587	636.2861576	636.5824691			0	0	0	0	0.381883313	Subcritical	0.0007075
682	680.996	616119.78	3097319.693	632.222	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2182493	635.4461214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2842853	636.580797	0.000708102	0.38207683	55.43257918	0.000741555	1	4.062285346	636.2842853	636.580797			0	0	0	0	0.38207683	Subcritical	0.000708102
683	681.995	616119.306	3097318.813	632.2215	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2177493	635.4456214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.062865571	21.12690097	1.585421524	2.411617306	636.2843656	636.5807926	0.000707847	0.381994985	55.44304766	0.000918111	1	4.062865571	636.2843656	636.5807926			0	0	0	0	0.381994985	Subcritical	0.000707847
684	682.996	616118.832	3097317.932	632.221	5.2	0	Normal	0.027	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2172493	635.4451214	0.004609515	1.109134404	35.85287311	-0.004169379	0	4.063641157	21.13093402	1.585539611	2.411157025	636.2846412	636.580955	0.000707507	0.381885629	55.4570444	-0.000919739	1	4.063641157	636.2846412	636.580955			0	0	0	0	0.381885629	Subcritical	0.000707507
685	683.995	616118.358	3097317.052	632.2205	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2167493	635.4446214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2827853	636.579297	0.000708102	0.38207683	55.43257918	0.000736779	1	4.062285346	636.2827853	636.579297			0	0	0	0	0.38207683	Subcritical	0.000708102
686	684.996	616117.883	3097316.171	632.22	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2162493	635.4441214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.062860875	21.12687655	1.585420808	2.411620093	636.2828609	636.5792886	0.000707849	0.381995647	55.44296293	0.000910357	1	4.062860875	636.2828609	636.5792886			0	0	0	0	0.381995647	Subcritical	0.000707849
687	685.996	616117.409	3097315.291	632.2195	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2157493	635.4436214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.063643469	21.13094604	1.585539963	2.411155653	636.2831435	636.579457	0.000707506	0.381885303	55.45708612	-0.000919704	1	4.063643469	636.2831435	636.579457			0	0	0	0	0.381885303	Subcritical	0.000707506
688	686.995	616116.935	3097314.411	632.219	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2152493	635.4431214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2812853	636.577797	0.000708102	0.38207683	55.43257918	0.000247357	1	4.062285346	636.2812853	636.577797			0	0	0	0	0.38207683	Subcritical	0.000708102
689	687.996	616116.461	3097313.53	632.2185	5.2	0	Normal	0.078	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2147493	635.4426214	0.004609515	1.109134404	35.85287311	-0.004273748	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2807853	636.577297	0.000708102	0.38207683	55.43257918	0.00090621	1	4.062285346	636.2807853	636.577297			0	0	0	0	0.38207683	Subcritical	0.000708102
690	688.996	616115.986	3097312.65	632.218	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2142493	635.4421214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.063020135	21.1277047	1.585445059	2.411525564	636.2810201	636.5774246	0.00070778	0.381973188	55.44583669	0.000871698	1	4.063020135	636.2810201	636.5774246			0	0	0	0	0.381973188	Subcritical	0.00070778
691	689.996	616115.512	3097311.769	632.2175	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2137493	635.4416214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063744874	21.13147334	1.5855554	2.411095486	636.2812449	636.5775436	0.000707461	0.381871009	55.45891645	0.00096487	1	4.063744874	636.2812449	636.5775436			0	0	0	0	0.381871009	Subcritical	0.000707461
692	690.996	616115.038	3097310.889	632.217	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2132493	635.4411214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.064588563	21.13586053	1.585683822	2.410595014	636.2815886	636.5777643	0.000707091	0.381752118	55.47414739	0.000957524	1	4.064588563	636.2815886	636.5777643			0	0	0	0	0.381752118	Subcritical	0.000707091
693	691.995	616114.564	3097310.009	632.2165	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2127493	635.4406214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.065412564	21.14014533	1.585809215	2.410106421	636.2819126	636.5779683	0.00070673	0.38163606	55.48902754	0.000870647	1	4.065412564	636.2819126	636.5779683			0	0	0	0	0.38163606	Subcritical	0.00070673
694	692.996	616114.089	3097309.128	632.216	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2122493	635.4401214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.066138584	21.14392064	1.585919672	2.409676089	636.2821386	636.5780886	0.000706412	0.381533851	55.50214208	0.00088996	1	4.066138584	636.2821386	636.5780886			0	0	0	0	0.381533851	Subcritical	0.000706412
695	693.996	616113.615	3097308.248	632.2155	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2117493	635.4396214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.066885016	21.14780209	1.58603321	2.40923382	636.282385	636.5782264	0.000706086	0.381428817	55.51562903	0.000887571	1	4.066885016	636.282385	636.5782264			0	0	0	0	0.381428817	Subcritical	0.000706086
696	694.996	616113.141	3097307.367	632.215	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2112493	635.4391214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.067629111	21.15167138	1.586146367	2.408793097	636.2826291	636.5783622	0.00070576	0.381324159	55.52907745	0.000867093	1	4.067629111	636.2826291	636.5783622			0	0	0	0	0.381324159	Subcritical	0.00070576
697	695.996	616112.667	3097306.487	632.2145	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2107493	635.4386214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.068365542	21.15550082	1.586258333	2.408357072	636.2828655	636.5784916	0.000705438	0.381220626	55.54239104	0.000985766	1	4.068365542	636.2828655	636.5784916			0	0	0	0	0.381220626	Subcritical	0.000705438
698	696.995	616112.193	3097305.607	632.214	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2102493	635.4381214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.06922259	21.15995747	1.586388607	2.40784983	636.2832226	636.5787242	0.000705064	0.381100195	55.55788978	0.000949383	1	4.06922259	636.2832226	636.5787242			0	0	0	0	0.381100195	Subcritical	0.000705064
699	697.996	616111.718	3097304.726	632.2135	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2097493	635.4376214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.070037921	21.16419719	1.586512509	2.407367477	636.2835379	636.5789211	0.000704708	0.380985685	55.57263869	0.000899439	1	4.070037921	636.2835379	636.5789211			0	0	0	0	0.380985685	Subcritical	0.000704708
700	698.996	616111.244	3097303.846	632.213	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2092493	635.4371214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.070796588	21.16814226	1.586627772	2.406918821	636.2837966	636.5790697	0.000704377	0.380879184	55.58636658	0.00098688	1	4.070796588	636.2837966	636.5790697			0	0	0	0	0.380879184	Subcritical	0.000704377
701	699.996	616110.77	3097302.965	632.2125	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2087493	635.4366214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.071652922	21.17259519	1.586757843	2.406412607	636.2841529	636.5793018	0.000704004	0.380759033	55.60186638	0.000923605	1	4.071652922	636.2841529	636.5793018			0	0	0	0	0.380759033	Subcritical	0.000704004
702	700.996	616110.296	3097302.085	632.212	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2082493	635.4361214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.072426588	21.17661826	1.586875328	2.405955445	636.2844266	636.5794634	0.000703667	0.380650535	55.6158741	0.000999362	1	4.072426588	636.2844266	636.5794634			0	0	0	0	0.380650535	Subcritical	0.000703667
703	701.996	616109.821	3097301.205	632.2115	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2077493	635.4356214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.073269587	21.18100185	1.58700331	2.405457511	636.2847696	636.5796843	0.0007033	0.380532373	55.6311417	0.00092281	1	4.073269587	636.2847696	636.5796843			0	0	0	0	0.380532373	Subcritical	0.0007033
704	702.996	616109.347	3097300.324	632.211	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2072493	635.4351214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.074055651	21.18508939	1.58712262	2.404993393	636.2850557	636.5798565	0.000702958	0.380422246	55.64538245	0.000988406	1	4.074055651	636.2850557	636.5798565			0	0	0	0	0.380422246	Subcritical	0.000702958
705	703.996	616108.873	3097299.444	632.2105	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2067493	635.4346214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.074915054	21.18955828	1.587253029	2.404486178	636.2854151	636.5800916	0.000702585	0.380301905	55.66095658	0.00090604	1	4.074915054	636.2854151	636.5800916			0	0	0	0	0.380301905	Subcritical	0.000702585
706	704.996	616108.399	3097298.563	632.21	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2062493	635.4341214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.075655283	21.19340747	1.587365328	2.40404947	636.2856553	636.5802248	0.000702264	0.380198303	55.67437502	0.000958785	1	4.075655283	636.2856553	636.5802248			0	0	0	0	0.380198303	Subcritical	0.000702264
707	705.996	616107.924	3097297.683	632.2095	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2057493	635.4336214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.076469829	21.19764311	1.587488872	2.403569101	636.2859698	636.5804216	0.00070191	0.380084354	55.68914486	0.000870586	1	4.076469829	636.2859698	636.5804216			0	0	0	0	0.380084354	Subcritical	0.00070191
708	706.996	616107.45	3097296.803	632.209	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2052493	635.4331214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.077199145	21.20143555	1.587599463	2.403139159	636.2861991	636.5805456	0.000701594	0.379982376	55.70237304	0.000915254	1	4.077199145	636.2861991	636.5805456			0	0	0	0	0.379982376	Subcritical	0.000701594
709	707.996	616106.976	3097295.922	632.2085	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2047493	635.4326214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.077978473	21.20548806	1.587717611	2.402679903	636.2864785	636.5807125	0.000701256	0.379873456	55.71651227	0.000962736	1	4.077978473	636.2864785	636.5807125			0	0	0	0	0.379873456	Subcritical	0.000701256
